,0,1,2
778,비바람으로 강이 불어 물결이 용처럼 출렁이는 꿈,/qna/detail.nhn?d1id=3&dirId=31505&docId=298537552,"일찍이 잠자리에 들었다 꿈을 아주 깊게 꾸고 눈을 뜨니 새벽 3시네요꿈 해몽에 대해 아는 바가 없어 어떻게 설명해야 할진 모르겠습니다만일단 기억나는 대로 써보겠습니다.꿈속의 저는 친구관계로 아주 골머리를 썩히고 있었는데요학교를 마치고(지금은 대학생이고 꿈에선 고등학생이었어요)운동장에 나와보니 탁하진 않고 뿌옇게 구름낀 하늘에서 강한 비바람이 휘몰아치고 있었습니다.아주 작은 운동장 바로 건너에는 작은 하천? 강이 흘렀는데그것이 비가 와 물이 불었는지(넘치지는 않았습니다) 매우 깊어 보였습니다.물은 탁하기보다는 아주 선명하고 짙푸른 깊은 바다색이었어요.그 물이 바람이 불어 마치 용처럼 꿈틀대며 파도가 치는데,저를 향한 방향의 파도가 아니라 양 옆으로 굽이치는 파도였습니다.그 광경을 보고 난 후 비바람에 제법 튼튼해보이는 우산을 쓰고서 집에 돌아가는 중이었습니다.어느새 비가 그쳐가고, 왠지 그 전까지의 고민들(꿈속에서의 고민은 실제로 하던 고민들이었습니다)은 다아무래도 좋은 듯한 느낌이 들었습니다.저는 다리가 아팠는지 골목길 위에 주저 앉아 잠시 쉬고 있었습니다.그런데 뒤에서 어떤 아주머니..? 할머니께서 저를 위아래로 지긋이 훑어보시기에제가 무어라 친근하게 말을 걸었고, 그 분도 썩 친하게 받아주시며 같이 걸어가는데그 분과 함께 제 방으로 돌아왔습니다.그 아주머니는 고운 한복 같은 옷을 입으시고서 제 침대 가에 살포시 앉으셨고,저는 아주 힘든 여정을 한듯 몸이 솜처럼 무거워져 손가방과 양말을 내팽개치고 침대위에 길게 뻗어 누웠습니다.이렇게 꿈이 끝났고요.이 글은 꿈 꾼 후 기분이 요상하고 느낌이 이상해 꿈에서 깨자마자 쓰는 것입니다.무언가 의미가 있는 꿈이라면 알려주시면 감사하겠습니다."
779,안락사 반대측 질문,/qna/detail.nhn?d1id=3&dirId=316&docId=298537550,안락사를 주제로 토론을 하는데 제가 반대측이 뽑혔습니다. 찬성측에게 어떤 질문을 해야 할 지 모르겠어서 이렇게 지식인에 남겨봅니다.ㅠㅠ 저도 찾아볼테니 의견 있으시면 써 주시길 바랍니다!
780,팝송제목 해외남자그룹이 부른 노래같구요 약간 젊은 느낌이에요 중간에 랩도 있고 보컬도 있는 멜로디있는팝송이구,/qna/detail.nhn?d1id=3&dirId=30203&docId=298537532,"팝송제목해외남자그룹이 부른 노래같구요약간 젊은 느낌이에요 중간에 랩도 있고 보컬도 있는 멜로디있는팝송이구요가사는 보컬부분이 we will trust you , you are ~~ any other name. we will trust you?? 이러는거같아요알려주실분 ㅠㅠㅠ"
781,해리상수 Ka와 pKa 단위 잇나요?? 그 a는 밑입니다,/qna/detail.nhn?d1id=3&dirId=30306&docId=298537522,해리상수 Ka와 pKa 단위 잇나요?? 그 a는 밑입니다
782,심각한 음치 입니다 ㅠㅠ 친구들이랑 노래방 갈때마다 너무 스트레스 받습니다.. 친구들이 노래 너무 못부른데요,/qna/detail.nhn?d1id=3&dirId=30201&docId=298537503,심각한 음치 입니다 ㅠㅠ친구들이랑 노래방 갈때마다 너무 스트레스 받습니다..친구들이 노래 너무 못부른데요... 하.. 잘 부르고 싶어서연습도 많이 해보고 노력을 하긴 하는데.. 생각처럼 잘 안되네요.노래 잘부르는 사람들 보면 너무너무 부러워요. 음치 어떻게 하면 고칠수 있을까요?.. 노래방 가서주눅들기 싫습니다 ㅠㅠ 노래방 에서 한번 불러 봣는데듣고 음치 어떻게하면 고칠수 있을지 조언 부탁드립니다!!
783,ebs 다큐프라임 공부못하는 아이 4부에서 로이 엄마가 우는 장면에 나오는 여자가부르는 hello goodb,/qna/detail.nhn?d1id=3&dirId=30211&docId=298537470,ebs 다큐프라임 공부못하는 아이 4부에서 로이 엄마가 우는 장면에 나오는 여자가부르는 hello goodbye 이런 가사있는 노래 제목이 뭔가요?
784,디지몬 어드벤처 질문이요 !!,/qna/detail.nhn?d1id=3&dirId=30507&docId=298537415,"디지몬 어드벤처 중에요.하늘에 막 이상한거 두둥실 그림그러져있고,동네 사람들이 다 밖에나와서 하늘에있는게 뭔지 구경하는 장면인데 대체 어디에 나오나요?? ㅠㅠ"
785,워너원 옹성우가 팬싸때인가 사진 속에서 쓰고 있는 모자 어디서 사나요 구매 사이트 좀 알려주세요 누르면 까딱,/qna/detail.nhn?d1id=3&dirId=30104&docId=298537411,워너원 옹성우가 팬싸때인가 사진 속에서 쓰고 있는 모자 어디서 사나요 구매 사이트 좀 알려주세요 누르면 까딱까딱 신기하고 귀여워서 친구 선물해주려구요 부탁드립니다
786,1998년도 애니 질문해요 어쩐지 고전틱한 애니가 좋더라구요 cg가 판치지않은 때의 일본이 돈이 많아서 작화,/qna/detail.nhn?d1id=3&dirId=3021103&docId=298537408,1998년도 애니 질문해요어쩐지 고전틱한 애니가 좋더라구요 cg가 판치지않은 때의 일본이 돈이 많아서 작화를 쏟아부은 애니가 보고싶어요예로들면 카우보이 비밥이나 카이트 같은...좋아하는 이유 중 하나는 뭔가 암울한것같은 분위기에 아무 생각없이 보는게 아닌... 뭔가 침침한 느낌이 걍 좋더라구요그때 당시의 유명했던 애니 뭐가있을까요
787,"저수지에 물을빼고 고기잡으려 많으사람이 모였는데,제가 저수지들어가 고기는없고 제가 잡는데로 금 이나왓어요",/qna/detail.nhn?d1id=3&dirId=31505&docId=298537396,"저수지에 물을빼고 고기잡으려 많으사람이 모였는데,제가 저수지들어가 고기는없고 제가 잡는데로 금 이나왓어요"
788,사주풀이 부탁드려요~,/qna/detail.nhn?d1id=3&dirId=31501&docId=298537388,1997.01.20 양력 06:30 여 사주풀이 부탁드려요~제게 맞는 직업과 연애운 등 전반적인 사주풀이와 극신약 유무에 대한 말씀도 부탁드립니다~그리고 올해 해외취업 생각중인데 괜찮을까요?
789,한달 전쯤인거같네요 꿈에서 수를 가능하기 어려울정도의 쥐떼꿈을 꾸었습니다. 저와 여러명이 어느방에 있었어요,/qna/detail.nhn?d1id=3&dirId=316&docId=298537360,한달 전쯤인거같네요 꿈에서 수를 가능하기 어려울정도의 쥐떼꿈을 꾸었습니다.저와 여러명이 어느방에 있었어요 근데 저만 어느 방문하나가 자꾸 조금열렸다 닫혓다 하는걸 보고 옆에잇돈 사람한테 저기 보라고 가리키고 점시후 그 문에서 쥐떼가 뛰쳐나와집안을 쑥대밭으로 만들고 헤짚어놓고 다른 문으로 나갓습니다. 흉몽인가요....?
790,벌레가 책가방에 무지 많이 붙엇어요. 종종 구더기도잇고.. 가방에서 계속 새끼벌레가 기어나오는꿈 을..,/qna/detail.nhn?d1id=3&dirId=31505&docId=298537354,벌레가 책가방에 무지 많이 붙엇어요. 종종 구더기도잇고..가방에서 계속 새끼벌레가 기어나오는꿈 을..
791,소울워커 치유스톤,/qna/detail.nhn?d1id=3&dirId=30504&docId=298537319,왜더 비싼가여?
792,인턴 사진이 필요한데 정장이 없기도 하고 시간이 맞지 않을 것 같아서 정장 증명사진 합성 부탁드리겠습니다!,/qna/detail.nhn?d1id=3&dirId=31402&docId=298537301,인턴 사진이 필요한데 정장이 없기도 하고 시간이 맞지 않을 것 같아서 정장 증명사진 합성 부탁드리겠습니다!
793,나루토 환술순위 질문 나루토에서 나왔던 환술들의 순위가 궁금합니다. 사륜안 츠쿠요미 이자나기 이자나미 코토아,/qna/detail.nhn?d1id=3&dirId=30403&docId=298537300,나루토 환술순위 질문나루토에서 나왔던 환술들의 순위가 궁금합니다.사륜안 츠쿠요미 이자나기 이자나미 코토아마츠카미 2대 호카게 환술 쿠레나이 환술 등 중에서 순위가 어떻게 되나요?
794,어린시절에 놀고 있는 나를 바라보는 꿈 해몽 부탁드려요,/qna/detail.nhn?d1id=3&dirId=31505&docId=298537254,어린시절에 놀고 있는 나를 바라보는 꿈 해몽 부탁드려요꿈에서 현재의 저는 19이고 어렸을때 5살정도 되는 제가 있었습니다 현재의 저는 어렸을때의 저의 놀고있는 모습을 바라보며 너무 귀엽다는 생각밖에 안들고 기분이 몹시 안락해지고 편안했어요
795,애니 제목을 찾고있어요 사진x,/qna/detail.nhn?d1id=3&dirId=304&docId=298537215,무슨 예전에 봤던애니가 생각나서뭐였는지 궁금하고다시 볼까 싶은데 제목을 모르겠어서..지식인에 글써봐요장르는 판타지고남주가 고등학생? 그정도일거에요여주는 생각이안나는데남주한테 여동생이있는데여동생이 남주한테 집착이 심해요다른여자 가도 막 의심하고그랬던거같아요그리고 결정적으로 기억에 남는게..여동생이 감옥? 실험같은거로 갇혀있었구요여동생이 원하면 원하는대로 되서(안좋은방향)사람도 죽이고 해서 위험해서 가둔거 일거에요(죽인다는게 여동생의지로 막 칼로찔러 죽인다는게 아니에요)여동생은 첫등장부터 갇혀있을거에요주기적으로 남주가 외출시키러 데리러 오던가 한거같기도...그리고 애니 후반부에 여동생이 오빠때문에 바이러스? 힘?이폭주해서 힘에 삼켜져서 괴물이 되용도시도 막 덮는...막 여동생 갇혀있을때 실험도 막 했던거같아요무슨 바이러스 였는지 뭐였는지 얼마나 더 버틸수있냐 하면서 주입하구요앗 여동생 불사신이였던거같아요(추정)인기있던 애니는 아니였던거같아요제목이 뭘까요.....
796,궁합 봐주세요 ㅡ둘다 양력입니다 남자 92년 1월 30 생시 모름 여자 94년 09월 16일 14시53분,/qna/detail.nhn?d1id=3&dirId=31501&docId=298537198,궁합 봐주세요ㅡ둘다 양력입니다남자 92년 1월 30 생시 모름여자 94년 09월 16일 14시53분
797,이거 품번이뭐에요??,/qna/detail.nhn?d1id=3&dirId=306&docId=298537192,품번이??
798,꿈에서 버스기사아저씨가 졸음운전을 하셔서 무서워서 친척들과 중간에 내리고 걸어갔는데 보니까 다음정거장에서 사,/qna/detail.nhn?d1id=3&dirId=316&docId=298537171,꿈에서 버스기사아저씨가 졸음운전을 하셔서 무서워서 친척들과 중간에 내리고 걸어갔는데 보니까 다음정거장에서 사고가 나있었는데 어떤 꿈해몽이죠?
799,미술보조재에 대하여,/qna/detail.nhn?d1id=3&dirId=31201&docId=298537163,"미술용품에 관해 질문하려합니다. 최근에 화방에서 아크릴이나 유화 보조재를 몇가지 봤는데요. 좀 생소한것 들도 있더라구요. 그래서 이참에 이미 알던 지식에도 덧붙힐겸 아크릴 보조재 설명 좀 부탁드릴게요. 젯소부터 바인더라던가 바니쉬, 리퀴드, 겔 등등...."
800,중이될 팔자라는데 기생팔자라 그러고~ 86년 4월 16일 오후 3~4시쯤 태어낫어요 기가쌔고 보통사람이 아니,/qna/detail.nhn?d1id=3&dirId=315&docId=298537127,중이될 팔자라는데 기생팔자라 그러고~86년 4월 16일 오후 3~4시쯤 태어낫어요기가쌔고 보통사람이 아니레요1년에 한번씩 굿으로 기를 눌려야된다는데어떻게해요?ㅠ
