,0,1,2
14,멜론비트라는 오라클지 코인 아시는분 계신가요?,/qna/detail.nhn?d1id=4&dirId=40108&docId=298557672,멜론비트라는 오라클지 코인 아시는분 계신가요?매도랑 매수표를 보면 매수 가격이 표에서는 매도 맨아래 가격으로 표시되고매도표 보면 매수표 맨위로 표시가 되네요오라클지에 대하여 아시는분 있으시면 알려주세요
15,청약통장 가점,/qna/detail.nhn?d1id=4&dirId=40203&docId=298557662,가입후 중간에 불입을 안해도 가점은계속 올라가나요?만약 2010년 가입후 납입을 전혀 안해도 가점은9점인가요?아리송해서요확실한 답변 부탁드립니다
16,소방공무원인강 스마트폰수강?,/qna/detail.nhn?d1id=4&dirId=40601&docId=298557634,안녕하세요 공부를하는 대학생입니다올해 4학년인대 공부를 해야하는데 바쁜관계로학원은 못다닐거같고 . 알바도 해야하고 해서요.정신이 없는 상태라 소방공무원인강으로 공부를 하고싶은데요학원에서 열공하면 좋겟지만 제사정이 학원갈 사정이안되서 ㅠㅠ알바 하면서 소방공무원인강 을 스마트폰으로 한번 들어볼까하는데.어떨까요 소방공무원 인강으로 소방사관학원에 제공하는소방공무원인강 어떨까요?합격생이 올해 가장 많이나왔다고 하는데 맞는지 궁금하네요소방공무원인강 답변부탁드립니다!
17,동양생명 치아보험 어려울까요?,/qna/detail.nhn?d1id=4&dirId=401030201&docId=298557610,저는 치아의 건강을 챙겨야 되는 건알지만 생각보다 비용이 많이 들어서미루고 있었는데요...그러다가 이제는 더 이상 미룰 수 없을 거 같아서동양생명 치아보험에 가입하려고 하는데...가입하게 되었을 때 어떤 보장을 받을 수 있을까요?그리고 특약에 가입하는 게 좋을까요???
18,주택청약 무주택 관련 문의,/qna/detail.nhn?d1id=4&dirId=40203&docId=298557578,"전 지금 20대 여성 입니다.현재 할아버지 명의인 집에서 할머니와 부모님과 동생이 같이 거주 중입니다.주택 청약을 알아보던 중 무주택 관련해서 부모가 만 60세 이상이면 그 세대원은 무주택자가아니라는 말을 들은 거 같아 , 확인 할 겸 문의 드립니다.그렇다면 할아버지도 그 조건에 포함이 가능한가요?그리고 제가 현재 무주택자인가요? 만약, 아니라면 방법은 세대분리 뿐인가요?"
19,지역 신협인데 재무건전성 어떤가요? 믿을 수 있는 지점인가요 5천만 이상 예치해도될지 봐주세요,/qna/detail.nhn?d1id=4&dirId=401&docId=298557571,지역 신협인데재무건전성 어떤가요? 믿을 수 있는 지점인가요5천만 이상 예치해도될지 봐주세요
20,지역 신협인데 재무건전성 어떤가요? 믿을 수 있는 지점인가요 5천만 이상 예치해도될지 봐주세요,/qna/detail.nhn?d1id=4&dirId=401&docId=298557571,지역 신협인데재무건전성 어떤가요? 믿을 수 있는 지점인가요5천만 이상 예치해도될지 봐주세요
21,분개 질문있습니다.,/qna/detail.nhn?d1id=4&dirId=40402&docId=298557567,"법인 기업이구요신용보증기금에대출보증료 3,000,000신용조사수수료 20,000총3,020,000원을 보통예금 계좌에서 이체를 해주었는데요분개를 어떻게 해야할지 잘 모르겠습니다어디서는 대출보증료를 선급비용으로 잡아라, 지급수수료로 하면 된다, 보험료로 분개해라 등등의견이 여러가지더라구요.답변 부탁드립니다."
22,거래량 차트 보는 법 좀 알려주세요~,/qna/detail.nhn?d1id=4&dirId=40102&docId=298557566,안녕하세요~사진을 보시면아래 막대가 거래량인데요.검색을 해 봤지만 제가 원하는 답을 못 찾아 질문 글 올립니다.ㅎ1.거래량 막대가 빨간색인데 실제 주가가 음봉인건 왜 그런건가요?(사진에서 우측 참고)2.거래량 막대는 매우 높은데 주가 변동폭이 적은건 왜 그런가요?(사진에서 좌측 중앙쯤 빨간색 막대 높은데 위에 캔들차트 폭이 적은거)초보인 만큼 쉬운 말씀 부탁드립니다~^^;
23,신규 아파트 분양 계약/중도금/잔금 대출 관련 문의,/qna/detail.nhn?d1id=4&dirId=40203&docId=298557565,"초보적인 질문일 것 같은데요.. 확실한 답변을 구하지 못해 질문드립니다.9억 이하 아파트 신규 분양의 경우 중도금 대출 (40%/ 60% 중도금 비율일 때) 이 가능한 것으로 알고 있습니다.아래의 경우 대출 가능한 금액에 대한 답변 부탁드립니다.예) 분양가 9억 (계약금 10%, 중도금 60%, 잔금 30%)1. 중도금 대출 40% 가능 경우 나머지 [본인돈 60% ( 계약금 10%, 중도금 40%, 잔금 10% : 대출 40%]2. 중도금 60% 중 20% 불가 [ 본인돈 20% : 대출 80%  (계약금 10%, 중도금 40%, 잔금 30%) ]투기과열지구 기준으로 어떤 방식이 맞는 것인지 최대한 대출을 가져가는 방향으로 몇 % 적용이 가능한지답변 부탁드립니다."
24,이 피규어들 중고판매시 얼마정도인지 알고싶네요 미개봉 입니다.,/qna/detail.nhn?d1id=4&dirId=40502&docId=298557563,이 피규어들 중고판매시 얼마정도인지 알고싶네요미개봉 입니다.
25,지난주 토욜에 주문했는데 아직 출고도 안됨,/qna/detail.nhn?d1id=4&dirId=40701&docId=298557556,티몬에서 주문했는데 아직도 안와요.. 배송에 문제생긴걸까요
26,대환대출 알아보는데 어떻게하죠,/qna/detail.nhn?d1id=4&dirId=4010503&docId=298557482,고금리 기대출 5곳 2250정도 됩니다.신용카드 1년 넘게 사용하고있으며 연체이력은 하나도 없고 자가 소유는 없습니다고금리대출이 부담되어서 새직장에서 현재 3개월째 일하고있는 상태인데햇살론같은 대환대출로 2500이상 할 수 있을까요..
27,법인회사 건물 및 토지 매입시 부가세신고와 고정자산등록,/qna/detail.nhn?d1id=4&dirId=40306&docId=298557479,"복합건물의 101호,102호(토지+건물)을 매입했습니다.2018.01.08에 토지분 172,800,000원  과  건물분 67,200,000 /6,720,000 원 세금계산서를 수령했습니다.(법무사사무소 보수료 부분 391,600원 세금계산서 수령)구청에서 발급 받은 취득세(등록면허세)납부확인서 에는등기(등록)물건 : 토지+건물 1동101호(매매:근생)취득세  : 9,600,000원지방교육세 : 1,440,000원농어촌특별세 : 240,000원등기(등록)물건 : 토지+건물 1동102호(매매:근생)취득세  : 9,600,000원지방교육세 : 1,440,000원농어촌특별세 : 240,000원1. 이렇게 토지와 건물분이 통으로 적혀있어서 건물분과 토지분을 나눠서 기초가액에 적기가 애매한데,고정자산등록할때 그냥 건물분취득가액에다가 취등록세를 몰아서 입력해줘도 되는건가요?2. 취득가액에는 취득세,교육세,농특세,증지세,인지세,채권(할인)금액까지 포함하면 되는건가요?추가로, 이번 부가세 신고시에는 2018.01.08에 교부받은 건물과 토지분 세금계산서만 건물등감가상각   자산취득명세서 부가세신고를 하면 되는건지 알려주시면 감사하겠습니다."
28,어플결제했는데 문자로는 신한해외 카드번호승인 되있는데 아직 계좌에서 안나갔는데 이게 시간이 좀 걸리는건가요?,/qna/detail.nhn?d1id=4&dirId=40104&docId=298557473,어플결제했는데문자로는 신한해외 카드번호승인되있는데 아직 계좌에서 안나갔는데이게 시간이 좀 걸리는건가요??
29,페이스북 마케팅 질문있습니다.,/qna/detail.nhn?d1id=4&dirId=40401&docId=298557466,페이스북 마케팅 관련하여 질문있습니다.기존 운영하던 사이트 회원정보를 활용하여페이스북에서 마케팅으로 진행이 가능한가요?굳이 많은 대상으로 진행할 필요가 없고지금 갖고 있는 정보들로 충분히 마케팅에 활용이 가능할 거 같은데방법을 모르겠네요어찌해야하나요
30,남편 명의로 대출된 아파트가 있습니다. 당연히 세대주도 남편 명의로 되어 있구요 일때문에 따로 월세를 얻으려,/qna/detail.nhn?d1id=4&dirId=4020202&docId=298557438,"남편 명의로 대출된 아파트가 있습니다.당연히 세대주도 남편 명의로 되어 있구요일때문에 따로 월세를 얻으려고 하는데요아파트의 경우 부인 명의로 세대주 변경이 가능한지(주민센터가서 세대주 변경하면되는지?), 대출 명의는 남편것으로 계속 둘 예정이구요.그리고 남편은 새로 얻은 월세집 전세금 보호를 위해 전입신고를 할 예정이구요이렇게 할 경우 추가 세금등등 궁금합니다."
31,인터넷자동차다이렉트보험 할인,/qna/detail.nhn?d1id=4&dirId=401030202&docId=298557428,인터넷자동차다이렉트보험 할인 많이 받아서 가입하길 원합니다.다른 타사대비 어디가 저렴한지 정보나 할인많이 해주는데 혹시 있을까요?지금 제일 큰 회사가 삼성인가요? 인터넷자동차다이렉트보험 어디로 하는게 좋을까요?보험료 아낄 수 있는 방법 좋은 할인정보 좀 같이 공유해주세요.
32,KB닥터플러스 건강보험 가입할까요??,/qna/detail.nhn?d1id=4&dirId=401030201&docId=298557396,저는 보험에 대해서 아는 게 없다 보니어디서부터 시작해야될지 몰라서지인에게 물어봤었는데요...지인은 일단은 KB닥터플러스 건강보험에대해서 알아보는 게 좋겠다는이야기를 했었는데요...이 상품은 실비상품인가요????실비상품은 어떤 보장을 받을 수 있는건가요??
33,2018년2월13일에 면책이 결정 됐는데요 개인회생 끝나면 햇살론 받기는 힘든가요? 언제 즘 가능할까요??,/qna/detail.nhn?d1id=4&dirId=40106&docId=298557383,2018년2월13일에 면책이 결정 됐는데요개인회생 끝나면 햇살론 받기는 힘든가요? 언제 즘 가능할까요??
34,삼성생명 보험을 들구있는데 해지를 해야할지 고민이되서 글올립니다 내공 많이드릴게요,/qna/detail.nhn?d1id=4&dirId=4010302&docId=298557369,"계약자는 새엄마로 되있고 피보험자는 저로 되어있어요보험료도 제가내고 보험금도 수령인이 접니다20살에 가입햇는데 그땐 어려서 계약자고 피보험자고 머ㅜ가뭔지 몰라서 그냥싸인하라는대로만 싸인해서 가입한 보험이에요제작년에수술을 하고 보험의 중요성을 깨닫고 알아보던중제 보험이 많이 안좋다는 얘기를들어서 해지를 하려고해도새엄마가 계약자라 해주지를 않아서 보험료는 납부하고있는 상황인데 이러지도 저러지도 못하고있습니다정확히 보장내용을 알고싶어서 고객센터물어봐도 계약자가아니라 알려줄수없다고만 얘기해주고환장하겠습니다..누구는 수술해서 그냥 이 보험 계속 유지해야한다는사람도있고누구는 그냥 해지하고 실비 저렴한걸로 들고 다른걸 더 채우자는ㅅ ㅏ람도있고..ㅠㅠ보험은 삼성퍼펙트업통합보험 인데아는 설계사분이 이도저도아닌 보험이라고 하더라구요대충 보험에대해서 설명드리자면CI보장, 리빙케어보장, 재해장해특약,재해치료비보장특약,신입원특약,암치료비특약,특정질병입원특약,실손의료비보장특약(종합입원,질병통원,상해통원형) 이렇게 있어요괜찮은 보험일까요?해지할수있는 방법은 없을까요?"
